1   1 2 4 
initi   1 2 3 5 
cc   1 2 3 
place   1 2 3 4 5 
chare   1 2 3 5 
cross   1 2 3 4 5 
natur   1 2 3 4 5 
themselv   1 2 3 4 5 
lie   1 2 3 4 5 
direct   1 2 3 4 5 
work   1 2 3 4 5 
hypothesi   1 2 3 4 5 
fresh   1 2 3 4 5 
start   1 2 3 4 5 
construct   1 2 3 4 
unknown   1 2 3 4 5 
suppo   1 2 
stand   1 2 3 4 5 
infer   1 2 3 4 5 
draw   1 2 3 4 5 
obviou   1 2 3 5 
practi   1 2 
ventur   1 2 3 4 5 
littl   1 2 3 4 5 
farther   1 2 3 5 
thi   1 2 3 4 5 
unit   1 2 3 4 5 
pledg   1 2 3 5 
moment   1 2 3 4 5 
withdrew   1 2 3 4 5 
servic   1 2 3 4 5 
order   1 2 3 4 5 
practic   1 2 3 4 5 
chang   1 2 3 4 5 
stretch   1 2 3 4 5 
observ   1 2 3 4 5 
staff   1 2 3 5 
wellestablish   1 2 3 
london   1 2 3 4 5 
hold   1 2 3 4 5 
posit   1 2 3 4 5 
drift   1 2 3 4 5 
housesurgeon   1 2 3 
housephysicianlittl   1 2 3 
senior   1 2 3 
student   1 2 3 4 5 
year   1 2 3 4 5 
agoth   1 2 3 
grave   1 2 3 4 5 
middleag   1 2 3 4 5 
vanish   1 2 3 4 5 
air   1 2 3 4 5 
emerg   1 2 3 4 5 
young   1 2 3 4 5 
thirti   1 2 3 4 5 
amiabl   1 2 3 5 
unamb   1 2 
absentmind   1 2 3 5 
possessor   1 2 3 
dog   1 2 3 4 5 
roughli   1 2 3 
larger   1 2 3 4 5 
terrier   1 2 3 4 5 
smaller   1 2 3 4 5 
mastiff   1 2 3 
laugh   1 2 3 4 5 
incredul   1 2 3 4 5 
lean   1 2 3 4 5 
blew   1 2 3 4 5 
waver   1 2 3 4 
ring   1 2 3 4 5 
smoke   1 2 3 4 5 
ceil   1 2 3 4 5 
check   1 2 3 4 5 
difficult   1 2 3 4 5 
particular   1 2 3 4 5 
age   1 2 3 4 5 
profess   1 2 3 4 5 
career   1 2 3 4 5 
shelf   1 2 3 5 
directori   1 2 3 5 
turn   1 2 3 4 5 
read   1 2 3 4 5 
record   1 2 3 4 5 
aloud   1 2 3 4 5 
1882   1 2 3 
grimpen   1 2 3 
dartmoor   1 2 3 
devon   1 2 3 
winner   1 2 3 
jackson   1 2 3 
prize   1 2 3 5 
compar   1 2 3 4 5 
patholog   1 2 3 
essay   1 2 3 
entitl   1 2 3 
disea   1 2 
rever   1 2 3 4 5 
correspond   1 2 3 4 5 
swedish   1 2 3 
societi   1 2 3 4 5 
author   1 2 3 4 5 
freak   1 2 3 5 
atav   1 2 3 
lancet   1 2 3 5 
progress   1 2 3 4 5 
journal   1 2 3 4 5 
psycholog   1 2 3 
march   1 2 3 4 
1883   1 2 3 
offic   1 2 3 4 5 
parish   1 2 3 5 
thorsley   1 2 3 
high   1 2 3 4 5 
barrow   1 2 3 
mention   1 2 3 4 5 
mischiev   1 2 3 4 5 
smile   1 2 3 4 5 
astut   1 2 3 5 
fairli   1 2 3 4 5 
justifi   1 2 3 5 
adject   1 2 3 
rememb   1 2 3 4 5 
experi   1 2 3 4 5 
world   1 2 3 4 5 
receiv   1 2 3 4 5 
testimoni   1 2 3 4 
abandon   1 2 3 4 5 
leav   1 2 3 4 5 
visitingcard   1 2 3 
wait   1 2 3 4 5 
hour   1 2 3 4 5 
room   1 2 3 4 5 
habit   1 2 3 4 5 
heavi   1 2 3 4 5 
held   1 2 3 4 5 
tightli   1 2 3 4 
middl   1 2 3 4 5 
teeth   1 2 3 4 5 
plainli   1 2 3 4 5 
visibl   1 2 3 4 5 
jaw   1 2 3 4 5 
shown   1 2 3 4 5 
space   1 2 3 4 5 
opinion   1 2 3 4 5 
beeni   1 2 
jove   1 2 3 4 5 
curlyhair   1 2 3 
spaniel   1 2 3 5 
risen   1 2 3 4 5 
pace   1 2 3 4 5 
spoke   1 2 3 4 5 
halt   1 2 3 4 5 
recess   1 2 3 5 
convict   1 2 3 4 5 
voic   1 2 3 4 5 
glanc   1 2 3 4 5 
surpri   1 2 
sure   1 2 3 4 5 
simpl   1 2 3 4 5 
reason   1 2 3 4 5 
doorstep   1 2 3 5 
owner   1 2 3 4 5 
dont   1 2 3 4 5 
beg   1 2 3 4 5 
brother   1 2 3 4 5 
presenc   1 2 3 4 5 
dramat   1 2 3 5 
fate   1 2 3 4 5 
step   1 2 3 4 5 
stair   1 2 3 4 5 
life   1 2 3 4 5 
ill   1 2 3 4 5 
scienc   1 2 3 4 5 
specialist   1 2 3 5 
crime   1 2 3 4 5 
appear   1 2 3 4 5 
expect   1 2 3 4 5 
typic   1 2 3 5 
tall   1 2 3 4 5 
long   1 2 3 4 5 
nose   1 2 3 4 5 
beak   1 2 3 5 
jut   1 2 3 4 5 
gray   1 2 3 5 
set   1 2 3 4 5 
close   1 2 3 4 5 
sparkl   1 2 3 4 5 
brightli   1 2 3 4 
pair   1 2 3 4 5 
goldrim   1 2 3 
glass   1 2 3 4 5 
clad   1 2 3 4 5 
slovenli   1 2 3 
fashion   1 2 3 4 5 
frockcoat   1 2 3 5 
dingi   1 2 3 4 5 
trouser   1 2 3 4 5 
fray   1 2 3 5 
bow   1 2 3 4 5 
forward   1 2 3 4 5 
thrust   1 2 3 4 5 
gener   1 2 3 4 5 
peer   1 2 3 4 5 
benevol   1 2 3 
enter   1 2 3 4 5 
fell   1 2 3 4 5 
holmess   1 2 3 4 5 
ran   1 2 3 4 5 
exclam   1 2 3 4 
joy   1 2 3 4 5 
glad   1 2 3 4 5 
ship   1 2 3 4 5 
lose   1 2 3 4 5 
ye   1 2 3 4 5 
marriag   1 2 3 4 5 
bad   1 2 3 4 5 
shake   1 2 3 4 5 
blink   1 2 3 4 5 
mild   1 2 3 5 
astonish   1 2 3 4 5 
onli   1 2 3 4 5 
disarrang   1 2 3 4 5 
marri   1 2 3 4 5 
hope   1 2 3 4 5 
consult   1 2 3 4 5 
necessari   1 2 3 4 5 
home   1 2 3 4 5 
mister   1 2 3 5 
mistera   1 2 3 
humbl   1 2 3 5 
preci   1 2 
mind   1 2 3 4 5 
dabbler   1 2 3 
picker   1 2 3 
shell   1 2 3 5 
shore   1 2 3 4 5 
ocean   1 2 3 5 
presum   1 2 3 4 5 
address   1 2 3 4 5 
meet   1 2 3 4 5 
heard   1 2 3 4 5 
connect   1 2 3 4 5 
dolichoceph   1 2 
skull   1 2 3 5 
wellmark   1 2 3 5 
supraorbit   1 2 3 
develop   1 2 3 4 5 
object   1 2 3 4 5 
run   1 2 3 4 5 
finger   1 2 3 4 5 
pariet   1 2 3 
fissur   1 2 3 
cast   1 2 3 4 5 
avail   1 2 3 4 5 
ornament   1 2 3 4 5 
anthropolog   1 2 3 
museum   1 2 3 5 
intent   1 2 3 4 5 
fulsom   1 2 3 
covet   1 2 3 5 
wave   1 2 3 4 5 
strang   1 2 3 4 5 
enthusiast   1 2 3 4 
line   1 2 3 4 5 
thought   1 2 3 4 5 
perceiv   1 2 3 4 5 
foref   1 2 
hesit   1 2 3 5 
drew   1 2 3 4 5 
paper   1 2 3 4 5 
tobacco   1 2 3 4 5 
twirl   1 2 3 
dexter   1 2 3 4 
quiver   1 2 3 4 5 
agil   1 2 3 5 
restless   1 2 3 4 5 
antenna   1 2 3 5 
insect   1 2 3 5 
silent   1 2 3 4 5 
dart   1 2 3 4 5 
curiou   1 2 3 5 
mere   1 2 3 4 5 
purpo   1 2 
honour   1 2 3 4 5 
today   1 2 3 4 5 
happi   1 2 3 4 5 
opportun   1 2 3 4 5 
came   1 2 3 4 5 
recogn   1 2 3 4 5 
unpract   1 2 3 
suddenli   1 2 3 4 5 
confront   1 2 3 4 5 
extraordinari   1 2 3 4 5 
highest   1 2 3 4 5 
expert   1 2 3 4 5 
europ   1 2 3 4 5 
ind   1 2 
inquir   1 2 3 4 5 
asper   1 2 3 5 
scientif   1 2 3 4 5 
monsieur   1 2 3 
bertillon   1 2 3 
appeal   1 2 3 5 
strongli   1 2 3 5 
better   1 2 3 4 5 
affair   1 2 3 4 5 
acknowledg   1 2 3 4 5 
alon   1 2 3 4 5 
inadvert   1 2 3 5 
wise   1 2 3 4 5 
ado   1 2 3 
kindli   1 2 3 4 5 
exact   1 2 3 4 5 
demand   1 2 3 5 
ii   1 2 3 4 
pocket   1 2 3 4 5 
manuscript   1 2 3 5 
old   1 2 3 4 5 
earli   1 2 3 4 5 
eighteenth   1 2 3 5 
centuri   1 2 3 4 5 
forgeri   1 2 3 4 5 
time   1 2 3 4 5 
talk   1 2 3 4 5 
poor   1 2 3 4 5 
document   1 2 3 4 5 
decad   1 2 3 
monograph   1 2 3 4 5 
subject   1 2 3 4 5 
1730   1 2 3 
1742   1 2 3 
breastpocket   1 2 3 
commit   1 2 3 4 5 
care   1 2 3 4 5 
